Name,review_text,review_summary,helpful_score,review_rating,word_net_score_review,word_net_score_summary,review_length,sentiment
"Healing from the Heart: A Leading Surgeon Combines Eastern and Western Traditions to Create the Medicine of the Future: Books: Mehmet Oz M.D.,Mehmet Oz,Dean Ornish","Dr. Oz is an accomplished heart surgeon in the field of cardiac transplantation. He describes how he combines complementary medicine (e.g. hypnosis, reflexology, yoga, message, acupuncture. Etc) with orthodox Western medicine. There is an excellent forward by Dr Dean Ornish, and an interesting epilogue containing an overview of the complementary medicine techniques. The bulk of the book contains stories of patients Dr. Oz treated using this revolutionary way. I am a cardiologist, and I have a great interest in combining western medicine with complementary medicine, which is the reason I bought this book. However this book was a bit boring to read and was also a bit of a disappointment. Nevertheless, those interested in this new medicine, which I think will be the medicine of the new millennium, will want to read this book",The Medicine of the Future,82,4,18.75,0.75,134,POSITIVE
Mythology: DC Comics Art of Alex Ross 2007 Calendar: Books: Alex Ross,"The most gorgeous artwork in comic books. Contains the most extraordinary artwork of Alex Ross(Superman, Batman, Wonder Woman,  the Justice League, etc, even Hanna-Barbera!) A comics fan, I recieved this as a Christmas gift, and I read it again and again.
			A must-have for comic book fans.",Beautiful!,0,5,9.5,2.75,47,POSITIVE
Pegasus Descending: A Dave Robicheaux Novel (Dave Robicheaux Mysteries): Books: James Lee Burke,"This book is for lovers of Robicheaux.  His demons seem put to rest, redemption seems almost within his grasp - and yet the worst mayhem ever occurs within these pages.  The poetry and sense of regret for lost innocence pervade Burke's prose as always, but his anger at humanity's shortcomings is bubbling volcanically just beneath the surface.  Hurricane Katrina features as a force both of destruction and cleansing.  A bit like Robicheaux himsel",For lovers of Robicheaux,100,4,-6.25,0,77,POSITIVE
"Guns, Germs, and Steel: The Fates of Human Societies: Books: Jared Diamond","This is going to be a short and sweet review because many others have commented on this book at length. I want to contribute my two cents as a concise opinion based on its value as a powerful, engaging and thought provoking story.

			This book packs the punch of great fiction. It covers a broad territory from the ice age to the present with the drama of an epic. You certainly don't need to be a history major, biologist or anthropologist to be moved by the story of civilization as told by the author.

			Jared Diamond places a very strong emphasis on the role of geography, environment and other factors that relate back to nature in the rise of civilizations. I think the major shortcoming of his work is that he doesn't give enough credit to social factors and their role is history.

			If you don't know a lot about history or how physical factors in the environment contributed to the rise of agriculture, the need for armies, etc. You will find this fascinating reading. If you have a deep knowledge of these areas, anthropology and sociology, you may find the overly reductionistic stance annoying. However, most likely you will enjoy the well-written story if you can keep in mind that it doesn't provide the full picture.

			In short, this book magnificently illuminates Jared Diamond's specific areas of interest, while downplaying or neglecting others. It provides a valuable piece of the truth and it does so in a very engaging and thoughtful manner.",Excellent and broad survey of the development of civilization with all the punch of high quality fiction!,77,5,47.5,13,249,POSITIVE
World's Fairs and the End of Progress: An Insider's View: Books: Alfred Heller,"Since I am a World's Fair ""fanatic"" I have read almost everything that I can on the subject. In general, this is an interesting and well researched book. The author has apparently attended most of the expositions that he writes about. However, I must point up three rather glaring errors in the book. In describing the Louisiana World Expo of 1984 he states that the unbuilt symbol tower was supposed to be ""80 feet tall,just 150 feet shorter than the Eiffel Tower."" Since the Eiffel Tower is actually over 900 feet tall,the New Orleans fair tower would have had to have been at least 800 feet tall.This may have been a typo which the author did not catch in time.The other error states that the US Pavilion at the Brussels World's Fair of 1958 was a ""large,squat,round concrete block structure."" It was indeed large and round, but not squat and not made of concrete blocks.According to the excellent book about Edward Durrell Stone, the architect of the pavilion,the outer walls consisted of large aluminum panels which were latticed in intricate designs so that the interior would be flooded with natural light. I have seen photos of the US Pavilion, and it seems a beautiful and airy structure to me. (In comparison to the Soviet Pavilion, which resembled a large refrigerator!) Thirdly, the Spokane Expo of 1974 was not the first time that the U.S.S.R. exhibited at a U.S. expo. They had a large pavilion at the New York World's Fair of 1939. All in all, however, I would recommend this book to anyone who is interested in the history of World's Fairs",A good book.,83,4,48.418,30.5,272,POSITIVE
Teach Yourself Photography: Books: Lee Frost,"This the one book that taught me more about how to use my SLR than the camera's manual itself. The step by step approach and the logical arrangement of chapters makes it a book that really teaches you photography. I also liked the way Mr. Frost uses two photographs to illustrate a filter. One take without the filter and then the same one with a filter.  Also explained very well is how longer lenses reduce depth of the photograph and small helful tips on increasing your depth of field.  An encompassing book, the last few chapters tell about how a slide show can be made more interesting and how to take care of your equipment.  The peppering of photos and illustrations make you want to go out and take pictures using the methods shown. A good buy and money well spent. My only gripe is that I preffered the smaller size of the previous edition as it fit easily in my kit bag",To the point and beautifully Illustrated,100,4,78.836,4,166,POSITIVE
Longitudes and Attitudes: The World in the Age of Terrorism: Books: Thomas L. Friedman,"Tom Friedman is a engaging writer.  He also writes from a very personal perspective, both as to how the world has changed for him and his family, and for his friends around the world.  You get the feeling that Mr. Friedman is describing the world changing as he is watching.  What a treat and a very easy read.  Pick it up and learn about what is really going on outside the US shores","At least somebody has ""got"" it",50,5,15.25,0,77,POSITIVE
Novelty: Four Stories: Books: John Crowley,"John Crowley's well-deserved recognition as one of the best literary stylists writing in the English language is readily apparent in these four fantasy novellas that date from the late 1980's. His &quot;Great Work of Time&quot; is an intriguing Rashomon-esque time travel fantasy about Cecil Rhodes and British economic imperialism in East Africa at the end of the 19th and beginning of the 20th centuries. It was almost as compelling a read as the &quot;The Nightingale Sings At Night&quot;, which offers a fantastical twist on the Adam and Eve creation myth saga. The other two tales, &quot;In Blue&quot; and &quot;Novelty&quot;, I found much less compelling, but they are redeemed by the same lyrical prose Crowley uses in other tales. It was a wonderful surprise to find this book at a library; a surprise which I think many readers will also discover",Excellent Short Fiction from one of our best stylists,100,4,14.75,0.5,140,POSITIVE
Susannah's Garden (MIRA Single Title Hardbacks): Books: Debbie Macomber,"This story captivated me right from the outset, as Vivian copes with age-related loss of memory. Her scenes are tenderly drawn in sensitively described and insightful detail, and she is a very realistically portrayed. 

			As Susannah packs up her childhood home and prepares to move Vivian into an assisted living apartment, she uncovers clues to her past concerning the mysteries of her brother's death and whereabouts of her long-lost high-school sweetheart. With just the right blend of drama, action, suspense and resolution of family issues, this enjoyable story is very uplifting and thought-provoking, providing reflections for my own midlife crisises. It is easily read within a couple of hours, and there is a subtle tie-in to the Blossom Street books, leaving the possibility that these likable characters may reappear in subsequent books in that series.","Beautifully written, heartwarming story",0,5,38.5,0.5,135,POSITIVE
Blessings: Books: Anna Quindlen,"I found this novel at a bookstore on the boardwalk I visit at least once every summer.  I love going there and looking to see if I can find a book that I have never heard of, by an author I've never heard of, and buy it on a whim.  This is the novel I bought last year.  I has, unfortunately, sat on my shelf since then until tonight, because of many reasons.  Tonight, however, I picked it up and read it cover to cover.  The narrative was brilliantly told, the dialogue completely believable and the plot totally heartwrenching.  If I had made it to the end without some tears, I would believe myself made of stone!  

			Skip is a character many can relate to: a man unsatisfied with how his life has turned out, down about how his friends have really not been friends at all, that gets the chance to do something great by this little child.  However, it is the change she makes in those around her which are truly the BLESSINGS of the title.  Faith, a name not used lightly, restores her namesake in all those touched by her.  She ultimately gives him the chance  of making something of his life without even knowing it.  Many BLESSINGS occur in this wonderful novel, and I found myself all at once sour about how humankind can be at times, but also proud at how humankind can be at others (which is a fact, in itself, that proves how well Quindlen has spun her tale).  The fact is that just because a person has been to jail, has deadbeat friends, does not mean he is of that same stock; just because an elderly woman has become so dragged down by her own life does not mean she has no feeling left in her.  Skip, Lydia, Nadine, Meredith, Jennifer...all have many dimentions to their characters that Quindlen has spectacularly drawn",A great find during an annual summer shopping trip,100,5,33.418,4.25,334,POSITIVE
"The Teen's Vegetarian Cookbook: Books: Judy Krizmanic,Matthew Wawiorka","I checked out this cookbook from the library and as soon as I cracked it open I knew I needed a copy of my own.  It is full of simple, tasty, and easy to prepare recipes.  I really like how most of the recipes don't require many special ingredients and how simple the directions are.  I was a little apprehensive having made the decision to become a vegetarian but this cookbook gave me confidence I'd still be able to enjoy a flavorful variety of cuisine",An excellent cookbook full of delicious recipes,100,5,-4.25,4.75,88,POSITIVE
Oxford Encyclopedia of Food and Drink in America: 2-Volume Set: Books: Andrew F. Smith,"I sit here with my two newly acquired volumes of the Oxford Encyclopedia of Food and Drink in America in absolute awe!  With almost 200 contributors, almost 800 entries and nearly 400 illustrations, editor Andy Smith and Oxford University Press have done a magnificent job of putting together what is clearly the most comprehensive work on this immensely broad subject ever undertaken.  Whether you are a food professional or interested amateur, a historian, sociologist or anthropologist, a student or scholar, these volumes will no doubt become your most important resource for information related in any way to the history of food and drink in America.  The scope is astounding, spanning some five centuries and ranging from events and trends to products, from ethnic, religions and cultural influences to political and social movements in American history, and also includes dozens of biographical entries of important contributors and influences on the development of culinary life and gastronomy in America.  Despite the enormity of this work, it is refreshingly approachable, set forth alphabetically, written in clear language, translated when needed, and annotated and supplemented with bibliographical information for those wishing to explore further.  As a food professional-recipe developer, food writer and culinary educator-there is no doubt in my mind that these pages will soon be worn and this seminal work will remain among my most valued and cherished resources for as long as my interest in food and gastronomy is alive.",An Outstanding Resource,66,5,37.332,3,243,POSITIVE
"The Millionaire Next Door: The Surprising Secrets of America's Wealthy: Books: Thomas J. Stanley,Thomas J. Stanley Ph. D,William D. Danko Ph.D","I borrowed this book on CD from the library and half way through, ordered the book so I would have it to refer to. Excellent book, highly recommended. Helps to put a realistic perspective on millionaires",Eye Opening Information,0,5,3.25,2.5,36,POSITIVE
The Haunting of Hill House: Books: Shirley Jackson,"I saw the 1963 classic first, which happens to be one of my most favourite ghost movies of all time! (what a major disappointment the remake was). So as soon as I could a got a copy of this. It was an awesome novellete. I read it in one sitting, couldn't put it down! I do have to say I enjoyed the movie better...but this is a great journey as well.",A gem...,100,5,34.168,1.25,71,POSITIVE
"Gone, Baby, Gone: A Novel: Books: Dennis Lehane","While expertly crafted, this is not a pretty novel, nor is it gentle.  The subject matter -- abduction of a child -- is somber, as are a few gruesome descriptions of death and dying.  The plot twists and turns, as befits a LeHane novel, and one way or another this complicated story finds its way to a denouement which the reader may not find satisfying. But you can usually trust Lehane to take good care of you in this, one of his finer books.  And not only are there plot twists to wrestle with, there are more than a few serious moral issues that will have you squirming or at least scratching your head.  All in all, this was a solid, enjoyable thriller.  The reader will feel his time was not wasted","Highly Satisfying Novel, Despite the Blood and Guts",66,5,37.25,3.75,137,POSITIVE
Inflation: The ultimate graven image: Books: James Jay Ferris,"Awesome. This book is worth its weight in gold for the insights and understanding it shares. With a professional background in finance, economics and a profound study of the Word of God, the author is well qualified to expose mammon for what it is, and to challenge the reader to a deeper surrender to the only real treasure worth having. Buy two and give a copy away. Can we have a new edition please",The best book on money I've ever read,0,5,28.168,6.75,74,POSITIVE
Clay's Way: A Novel: Books: Blair Mastbaum,"This book does something I've never seen before. It shows a cool young homo boy who's punk rock and a skater, not some wishwashy queen-boy. Sam, the lead character, is really cool. I'd like to be his friend, and his boyfriend, but that's another matter. Also, the dude he likes, Clay, is really hot. He's a surfer, but he's not a stereotypical surfer, he's much cooler, and also a little punk rock. I love this novel. The ending is really sad, but I loved it","Funny, sexy, sweet, poignant",75,5,21.5,5.75,85,POSITIVE
Fear Nothing: Books: Dean Koontz,"Fear nothing is about Christopher Snow, whose parents die in supposedly innocent ways, but Chris soon finds out that what is seems is not really what it is, and even that his little town of Moonlight Bay is stranger, and scarier, than he thought. Chris then sets out with his friends, and his dog, to find out the truth about what's really going on.
			Fear Nothing is a good plot written in typical Koontz style. Fear nothing grabs you from the beginning and holds you all the way through. It keeps you guessing and just when you think you have it figured out, it throws something new at you and makes you guess some more. Koontz creates some very likable characters and by the end of the story, you like them, and feel as if you know them.
			Fear Nothing is very descriptive, Koontz describes his locations so well you feel like you're in them, and experiencing the plot right next to the main character. I have not read the sequel, but I am anxious to do so.",One of Koontz's better books,100,5,53.918,14.25,176,POSITIVE
The Mediterranean Vegan Kitchen: Books: Donna Klein,"I'm not even a vegetarian , let alone a vegan, and this book offers such flavorful and simple recipes.  Some more time consuming than others but definitely worth the wait!  Unless you hate veggies, this book is a must have!  I just made the Herb Scalloped potatoes as a side dish and the author was right, it's hard to believe there's no cheese or cream! the pizza with caramelized onions, kalmata olives and tomatoes is fantastic too!. . . . .lots of yummyness",Absolutely Fantastic!,100,5,9.75,3,86,POSITIVE
Possible Side Effects: Books: Augusten Burroughs,"Very good, easy, light & funny read!  Although his best, by far, in my opinion was ""Running with Scissors"".  This was an enjoyable read & would recommend reading his work if you like David Sedaris, both have a similiar style",Possible Side Effects - A. Burroughs,0,4,49.25,1.25,42,POSITIVE
The Crossing (Random House Large Print): Books: Cormac Mccarthy,"Reading this book is like having a holy vision: I feel as if I should tell the world about it, but at the same time it seems so sacred and personal that maybe I should just keep it to myself and try to figure out why it came to me, into my life, into my head.
			The book is the story of Billy Parham, a son in a late-1930s New Mexican ranching family.  Billy traps a wolf that has been killing his father's cattle but realizes he can't kill it and has to return it to its home in the mountains of old Mexico.  Billy crosses the border into Mexico, and as he does he crosses from real life into a world of dreams, where everyone moves as if the air was liquid, where every ruin has an irretrievable story, where soot and heat and danger hang in the air, and where nothing ever goes as planned.
			The story is not as streamlined or as focused as its thematic predecessor, ""All the Pretty Horses,"" but that's not necessarily a shortcoming.   The book sprawls out like a wide hot desert--curling north and south, east and west, across the present and into the past.  The writing is as good as any writing I've ever read ever, and certain metaphors and feelings will stay with you for years.  For example: the coals of a campfire seeming like an exposed piece of the core of the earth.
			This is a book that needs to be read.  Pick it up, and let it seep into your skin, let it open you to other worlds and peoples and ideas, and let it change you.  Let it open your eyes to the world, and to the West, and the goodness and the hope and the sadness that haunts the lives of all of us.  
			This is a book made of all those ineffable things that most of us just can't put into words.  But here, somehow, Cormac McCarthy has managed to do just that.  Here is the intangible, but tangible.  Here is the unnameable, but named.  Here are the thoughts you could never express, expressed.","A dream, a vision, the West incarnate",77,5,35,0.25,368,POSITIVE
The Villa (Random House Large Print): Books: Nora Roberts,"Beautiful vineyards, fueding families, mystery, and an unlikely love story with a twist. Great read. Prepare to read this one through because it was hard to put down!!!",Loved it,100,5,0.5,1,28,POSITIVE
The Five Love Languages: How To Express Heartfelt  Commitment To Your Mate: Books: Gary D. Chapman,The book arrived as expected and was in great shape.  Thanks,As expected . . .,0,5,4.75,-0.5,12,POSITIVE
